text,intent
open youtube,open_youtube
can you open youtube,open_youtube
launch youtube,open_youtube
go to youtube,open_youtube
play something on youtube,open_youtube
start youtube,open_youtube
bring up youtube,open_youtube
youtube please,open_youtube
ben open youtube,open_youtube
youtube now,open_youtube
search youtube for lo-fi music,search_youtube
look up songs on youtube,search_youtube
find cooking videos on youtube,search_youtube
youtube search relaxing videos,search_youtube
search youtube for comedy,search_youtube
search youtube for workout videos,search_youtube
can you search youtube for biryani,search_youtube
look up tutorials on youtube,search_youtube
find me a youtube video,search_youtube
show youtube results for meditation,search_youtube
search for machine learning,google_search
google how to cook biryani,google_search
look up python tutorials,google_search
find weather in New York,google_search
can you search for AI tools,google_search
search gold price today,google_search
find meaning of transformer,google_search
google search climate change,google_search
look up news today,google_search
search on google for ChatGPT,google_search
open the browser,open_browser
can you open google chrome,open_browser
launch my browser,open_browser
start web browser,open_browser
open firefox,open_browser
open brave browser,open_browser
bring up the internet,open_browser
open edge browser,open_browser
open safari,open_browser
start chrome,open_browser
what time is it,tell_time
can you tell me the time,tell_time
what's the time now,tell_time
current time please,tell_time
tell me the time,tell_time
do you know the time,tell_time
give me the time,tell_time
time now,tell_time
tell me what time it is,tell_time
what is the current time,tell_time
what's the weather like,get_weather
can you check the weather today,get_weather
what's the temperature outside,get_weather
is it going to rain today,get_weather
how's the weather in Toronto,get_weather
tell me the weather,get_weather
will it snow today,get_weather
give me the weather update,get_weather
do I need an umbrella today,get_weather
what's the weather forecast,get_weather
take a note,take_note
note that down,take_note
write down that I have a meeting,take_note
make a note,take_note
save a note for today,take_note
remember this note,take_note
write this down,take_note
note this,take_note
save this message,take_note
jot down a note,take_note
summarize my last note,summarize_note
what did I just note,summarize_note
give me a summary of my note,summarize_note
summarize what I said,summarize_note
tell me the summary,summarize_note
shorten my last note,summarize_note
can you summarize my notes,summarize_note
what is the last note about,summarize_note
last note summary,summarize_note
give me a short version of my note,summarize_note
list all the notes,list_notes
read me my notes,list_notes
show me all my recent notes,list_notes
what notes do I have,list_notes
what notes have i made,list_notes
could you give me a list of all my notes, list_notes
list my saved notes,list_notes
show me all my notes,list_notes
read the last few notes,list_notes
what have I saved in my notes,list_notes
show me my note history,list_notes
tell me my previous notes,list_notes
what is machine learning,llm_query
explain deep learning,llm_query
tell me about transformers in AI,llm_query
how does neural network work,llm_query
define reinforcement learning,llm_query
what is backpropagation,llm_query
how does gradient descent work,llm_query
difference between AI and ML,llm_query
how to learn data science,llm_query
what is artificial intelligence,llm_query
what did i say this morning,log_query
what did i ask yesterday,log_query
what did i say on may 15,log_query
what did we talk about yesterday,log_query
tell me what i said last hour,log_query
summarize what we discussed this morning,log_query
remind me what i asked you this week,log_query
tell me what i said today,log_query
what have i said so far,log_query
what did i ask about food yesterday,log_query